"","GEOID20","Year","wf_pm","wf_pm_mod","Count","deaths_base","deaths_mod","deaths_base_LCL","deaths_mod_LCL","deaths_base_UCL","deaths_mod_UCL"
"1","90001",2008,1.33710253238678,1.33710253238678,212,4.9582812169268,4.9582812169268,0.43095128612317,0.43095128612317,9.38889033438429,9.38889033438429
"2","90001",2009,0.404051691293716,0.404051691293716,193.5,1.37887641747037,1.37887641747037,0.118947078198666,0.118947078198666,2.63064217043571,2.63064217043571
"3","90001",2010,0.380194842815399,0.380194842815399,209.5,1.40504191264455,1.40504191264455,0.121180854922341,0.121180854922341,2.68107671584501,2.68107671584501
"4","90001",2011,0.245791047811508,0.245791047811508,227.5,0.987557930872919,0.987557930872919,0.0850815978143518,0.0850815978143518,1.88648535935104,1.88648535935104
"5","90001",2012,0.276914656162262,0.276914656162262,239.5,1.17097345799737,1.17097345799737,0.10090887179427,0.10090887179427,2.23629357541569,2.23629357541569
"6","90001",2013,0.581981778144836,0.581981778144836,203.5,2.08544330364116,2.08544330364116,0.180156895251533,0.180156895251533,3.972943540083,3.972943540083
"7","90001",2014,0.297319233417511,0.297319233417511,233.5,1.22553896666449,1.22553896666449,0.105628481760734,0.105628481760734,2.34011598936194,2.34011598936194
"8","90001",2015,0.338296800851822,0.338296800851822,236,1.40886631016972,1.40886631016972,0.121469572091315,0.121469572091315,2.68928284085724,2.68928284085724
"9","90001",2016,1.21405351161957,1.21405351161957,238,5.05960384821456,5.05960384821456,0.439322094536562,0.439322094536562,9.59018893043877,9.59018893043877
"10","90001",2017,1.64416027069092,1.64416027069092,278.5,7.98775949924781,7.98775949924781,0.695978021466337,0.695978021466337,15.0884005608105,15.0884005608105
"11","90001",2018,2.0381453037262,2.03091406822205,247.5,8.76919979892675,8.73864297595571,0.766489808515509,0.763774542209372,16.5126207225699,16.4560271876165
"12","90002",2008,1.32936131954193,1.32936131954193,232.5,5.40662456372845,5.40662456372845,0.469889955352025,0.469889955352025,10.2384970220948,10.2384970220948
"13","90002",2009,0.405789166688919,0.405789166688919,249,1.7819707518664,1.7819707518664,0.153721672768031,0.153721672768031,3.3996242829462,3.3996242829462
