Block group,% Hispanic,% White Alone,% Black or African American Alone,% American Indian and Alaska Native ,% Asian,% Native Hawaiian and other Pacific Islander,% Other Race and Two or More Races
60710054003,70.52533705,12.55230126,10.69270107,0.325430033,3.347280335,0.139470014,2.417480242
60710054004,65.14896009,13.71557055,15.6267566,0.393479483,1.349072513,0.281056773,3.485103991
60710055011,77.95,6.15,11.75,0.4,0.75,0.35,2.65
60710055012,75.37572254,5.895953757,15.02890173,0.809248555,1.156069364,0,1.734104046
60710055021,70.86521483,6.238964097,17.71630371,0.353148911,2.118893467,0.470865215,2.23660977
60710055022,70.92889908,8.658256881,16.97247706,0.401376147,1.20412844,0.401376147,1.433486239
60710055023,65.24781341,7.405247813,22.85714286,0.524781341,1.341107872,0.29154519,2.332361516
60710055024,80.96676737,5.287009063,8.232628399,0.226586103,3.021148036,0.604229607,1.66163142
60710056011,68.21576763,12.11618257,14.77178423,0.497925311,1.908713693,0.414937759,2.074688797
60710056012,75.15400411,5.544147844,14.64750171,0.136892539,0.752908966,0.342231348,3.422313484
60710056013,80.34433286,7.460545194,8.106169297,0.286944046,2.654232425,0.071736011,1.076040172
60710056021,84.44671086,5.558388577,8.210096889,0.254971953,0.81591025,0,0.713921469
60710056022,80.61737258,4.809763101,11.41421393,0,1.794687724,0,1.36396267
60710057011,65.37077034,14.90280778,11.37508999,0.143988481,4.895608351,0.143988481,3.16774658
60710057012,55.84756899,11.95795007,6.964520368,0,24.17871222,0.262812089,0.788436268
60710058001,59.98650472,9.041835358,22.94197031,0.337381916,3.036437247,1.012145749,3.643724696
60710058002,78.13446396,6.420351302,6.35978195,0.605693519,6.480920654,0.121138704,1.877649909
60710058003,62.14128035,5.298013245,16.55629139,0.110375276,13.68653422,0.220750552,1.986754967
60710061011,72.92176039,13.14180929,7.39608802,0.733496333,1.833740831,0.611246944,3.361858191
60710061012,61.27562642,17.99544419,14.30523918,0.501138952,1.867881549,0.318906606,3.735763098
60710061013,56.85328185,31.46718147,6.756756757,0.28957529,1.544401544,0.386100386,2.702702703
60710061021,63.71967655,20.80862534,7.81671159,0.323450135,3.450134771,0,3.881401617
60710061022,62.01074444,13.58403684,15.04221028,0.076745971,3.223330775,0.844205679,5.218726017
60710061023,57.52823087,28.10539523,6.336260979,0.439146801,2.446675031,0.250941029,4.893350063
60710062011,76.29310345,13.46982759,4.202586207,0,1.939655172,0.431034483,3.663793103
60710062012,69.94974874,13.66834171,10.35175879,0.804020101,1.909547739,1.105527638,2.211055276
60710062013,71.08874657,16.92589204,8.051235133,0.320219579,1.0978957,0.457456542,2.058554437
60710062031,65.36689117,8.649415101,20.5955335,0.638071606,1.417936902,0.248138958,3.084012761
60710062032,57.11086226,14.22172452,22.06047032,0.410600971,1.903695409,0.37327361,3.9193729
60710062041,57.89180145,13.27384272,22.19743447,0.446179587,2.007808143,0.390407139,3.792526492
60710062042,65.35200885,11.46332473,18.02432731,0.479174346,1.584961297,0.258016955,2.838186509
60710063011,76.62942272,12.38361266,5.027932961,1.210428305,3.072625698,0.372439479,1.303538175
60710063012,75.43859649,12.69349845,8.565531476,0,1.547987616,0.412796698,1.341589267
60710063013,67.64845606,16.67458432,11.9239905,0.285035629,1.852731591,0.237529691,1.377672209
60710063014,67.26677578,16.93944354,11.78396072,0.245499182,0.736497545,0.327332242,2.700490998
60710063031,75.50709939,8.569979716,9.787018256,0.354969574,3.042596349,0,2.738336714
60710063032,78.99322362,9.728944821,5.27589545,0.387221684,3.146176186,0.096805421,2.371732817
60710063033,80.21164021,7.301587302,11.42857143,0,0,0,1.058201058
60710063041,80.13605442,9.841269841,5.215419501,0.362811791,2.494331066,0.272108844,1.678004535
60710063042,69.95260664,14.12322275,7.014218009,0.663507109,5.592417062,0.379146919,2.274881517
60710063043,73.56709373,10.18206339,8.293998651,0.674308833,4.517869184,0.472016183,2.292650034
60710064011,44.37869822,5.917159763,36.09467456,0,9.467455621,0,4.142011834
60710064012,85.14207463,6.710030811,4.655939747,0,1.985621363,0,1.506333447
60710064021,78.94117647,8.078431373,6.980392157,0.431372549,2.823529412,0.156862745,2.588235294
60710064022,51.8558952,6.986899563,37.44541485,0.109170306,0.982532751,0,2.620087336
60710064023,70.05494505,7.197802198,8.736263736,0.274725275,11.20879121,0.21978022,2.307692308
60710065011,76.36363636,5.387205387,6.060606061,0.202020202,9.494949495,0.336700337,2.154882155
60710065012,55.04014273,12.93487957,28.09991079,0.356824264,1.917930419,0.312221231,1.33809099
60710065021,75.01585289,9.511731135,9.511731135,0.253646164,3.48763475,0,2.219403932
60710065022,81.86250609,6.14334471,5.850804486,0.048756704,4.046806436,0,2.04778157
60710066011,85.0867052,12.65895954,0.404624277,0.404624277,0.231213873,0.173410405,1.040462428
60710066012,86.11521418,10.41358936,1.920236337,0.369276219,0.295420975,0,0.886262925
60710066013,90.91534756,5.368203716,1.445285616,0.75705437,0,0,1.514108741
60710066031,84.46764092,8.475991649,2.839248434,0.668058455,2.505219207,0.250521921,0.793319415
60710066032,84.98168498,7.582417582,3.992673993,0.402930403,1.758241758,0,1.282051282
60710066041,85.40792541,5.734265734,5.594405594,0.13986014,2.284382284,0,0.839160839
60710066042,82.90685773,3.531218014,9.77482088,0.102354145,2.047082907,0.204708291,1.432958035
60710067001,92.45660881,3.604806409,2.002670227,0.200267023,0.801068091,0,0.934579439
60710067002,91.51291513,4.612546125,1.291512915,0,1.199261993,0,1.383763838
60710067003,91.02822581,6.955645161,0.201612903,0.201612903,0.60483871,0,1.008064516
60710067004,86.48351648,7.472527473,1.868131868,0.21978022,2.087912088,0,1.868131868
60710070011,90.95084979,3.950390446,2.572347267,0.091869545,1.05649977,0,1.378043179
60710070012,91.96617336,5.919661734,0.775193798,0,0.422832981,0,0.916138125
60710070021,86.73404927,5.685407454,4.421983575,0.252684776,0.884396715,0.126342388,1.895135818
60710070022,86.13595707,7.692307692,2.772808587,0.178890877,1.162790698,0.268336315,1.788908766
60710070023,84.71790315,5.597512217,7.285650822,0.1332741,1.066192803,0.355397601,0.844069303
60710071041,44.37596302,37.4422188,4.314329738,0.30816641,8.782742681,0.30816641,4.468412943
60710071042,34.27419355,44.85887097,4.939516129,0.504032258,12.09677419,0,3.326612903
60710071043,46.54255319,36.50265957,4.188829787,0.664893617,7.114361702,0.332446809,4.654255319
60710071044,46.32768362,37.40112994,3.502824859,0,5.649717514,0.903954802,6.214689266
60710071051,41.27032832,28.62841362,12.51917766,0.245474072,12.33507211,0.245474072,4.756060141
60710071061,52.34765235,31.76823177,2.897102897,0,5.194805195,0.599400599,7.192807193
60710071062,36.55256724,41.80929095,10.14669927,0.244498778,5.012224939,0.488997555,5.745721271
60710071063,52.51353442,25.13534416,12.60634184,0.541376643,5.259087394,0.232018561,3.712296984
60710071064,50,37.12784588,3.415061296,0.350262697,4.640980736,0.175131349,4.290718039
60710071071,55.08928571,13.125,26.11607143,0.401785714,1.785714286,0.401785714,3.080357143
60710071072,64.3707483,24.31972789,3.06122449,0.170068027,1.870748299,0.510204082,5.697278912
60710071081,50.45474231,16.84711997,20.48505847,0.303161542,5.760069294,0.173235167,5.976613252
60710071101,46.943078,21.50386507,4.708362614,0.140548138,21.57413914,1.124385102,4.005621926
60710071102,60.25641026,15.12820513,6.730769231,0.064102564,13.91025641,0.192307692,3.717948718
60710071103,39.08996898,17.21820062,8.583247156,0.413650465,30.3516029,0,4.343329886
60710071111,49.20440636,28.31497348,10.64871481,0.244798042,7.58873929,0.040799674,3.957568339
60710071112,43.98654331,42.05214466,4.289318755,0.672834315,4.121110177,0.420521447,4.457527334
60710071121,51.55586987,12.37623762,25.88401697,0.282885431,3.96039604,1.131541726,4.809052334
60710071122,46.14189539,16.00207147,23.51113413,0.51786639,8.70015536,0.310719834,4.816157431
60710072011,42.72930649,20.74944072,7.382550336,0,25.27964206,0.33557047,3.523489933
60710072012,45.8842273,11.78969729,5.94795539,0.106213489,32.87307488,0.106213489,3.292618163
60710072021,58.76190476,6.952380952,0.571428571,0.476190476,31.42857143,0.476190476,1.333333333
60710072022,79.55298013,7.284768212,4.966887417,0.910596026,4.304635762,0.910596026,2.069536424
60710072023,61.63849155,14.56436931,4.031209363,0.130039012,17.03511053,0,2.600780234
60710073031,50.67039106,10.39106145,15.58659218,0.502793296,17.76536313,1.117318436,3.966480447
60710073032,31.65859564,26.69491525,12.46973366,0.242130751,23.91041162,0,5.024213075
60710073033,27.11198428,32.74394237,8.97184021,0.327439424,22.78978389,0.458415193,7.59659463
60710073051,43.57429719,18.07228916,14.1231593,0.535475234,18.8085676,0.602409639,4.283801874
60710073052,40.0297619,17.33630952,13.4672619,0.223214286,23.13988095,0.520833333,5.282738095
60710073053,40.29850746,21.95474242,7.703418392,0.09629273,24.69908522,0.240731825,5.007221955
60710073061,31.3629702,29.75085491,16.46311676,0.097703957,15.38837323,0.781631656,6.155349292
60710073062,26.88172043,38.70967742,8.243727599,0.537634409,23.47670251,0,2.150537634
60710073063,34.49023861,27.98264642,8.242950108,1.084598698,24.51193059,0,3.687635575
60710073064,25.18871673,23.08303536,5.959475566,0.437028208,39.57091776,0.119189511,5.641636869
60710073071,23.2304038,30.45130641,6.128266033,0.475059382,33.44418052,0.142517815,6.128266033
60710073072,17.43940991,31.92834563,4.636459431,0,38.5142255,0.052687039,7.428872497
60710073073,14.84037964,30.28472821,4.227782571,0.172562554,44.34857636,0.258843831,5.867126833
60710073081,16.90381332,40.97894138,12.12293682,0.227660785,23.84746727,0.113830393,5.805350028
60710073082,31.37525916,36.55839668,6.288873531,0.483759502,20.0414651,0.0691085,5.183137526
60710073083,14.22459893,46.14973262,5.77540107,0,27.54010695,0.427807487,5.882352941
60710074041,51.07296137,32.93991416,6.652360515,0.321888412,4.399141631,0.965665236,3.64806867
60710074042,46.93693694,30.09009009,9.189189189,0.27027027,8.558558559,0.45045045,4.504504505
60710074043,42.26552984,36.78440926,9.987819732,0.12180268,3.53227771,1.096224117,6.211936663
60710074044,27.23163842,54.46327684,9.265536723,0,4.971751412,1.355932203,2.711864407
60710074045,47.75280899,32.24719101,8.651685393,1.123595506,5.168539326,0.449438202,4.606741573
60710074071,61.96581197,4.807692308,22.64957265,0.213675214,1.602564103,5.128205128,3.632478632
60710074072,58.99912204,10.88674276,22.03687445,0.438981563,3.160667252,0.790166813,3.687445127
60710074073,67.91187739,10.05747126,12.16475096,0,5.747126437,0.574712644,3.544061303
60710074081,67.26666667,12.73333333,9.133333333,0.666666667,4.6,0.666666667,4.933333333
60710074082,57.57780785,6.630581867,28.21380244,0.067658999,3.044654939,0.811907984,3.653585927
60710074083,71.59559835,11.96698762,12.44841816,0.412654746,1.375515818,0,2.200825309
60710074091,65.30418251,18.96387833,6.41634981,0.427756654,5.228136882,0.142585551,3.517110266
60710074092,71.5857929,13.85692846,7.453726863,0.350175088,2.8014007,0.450225113,3.501750875
60710074093,54.34482759,26.06896552,8.827586207,0.459770115,6.620689655,0.137931034,3.540229885
60710074101,55.41740675,17.85079929,13.94316163,0.088809947,6.74955595,0.53285968,5.41740675
60710074102,33.67995378,47.19815136,6.296938186,0.11554015,7.567879838,0.288850376,4.852686308
60710074103,59.1588785,19.1588785,7.476635514,0.186915888,11.21495327,0.186915888,2.61682243
60710074104,50.64695009,11.09057301,30.68391867,0.184842884,4.066543438,0.184842884,3.14232902
60710074111,54.54019665,28.97628687,9.080393291,0.3470214,3.238866397,0.4626952,3.354540197
60710074121,48.97804693,23.39137017,16.80545042,0.227100681,5.677517033,0.378501136,4.542013626
60710074122,54.84707102,11.04199067,25.40176257,0.362882322,3.525142561,0.362882322,4.458268533
60710074123,54.26587302,27.18253968,9.375,0.297619048,4.117063492,1.140873016,3.621031746
60710074124,59.173314,22.48005801,9.28208847,1.015228426,3.553299492,0.507614213,3.988397389
60710076031,59.34131737,13.59281437,17.18562874,0.538922156,4.550898204,0.119760479,4.670658683
60710076032,48.71001032,25.28379773,13.93188854,0.619195046,5.779153767,0.412796698,5.263157895
60710076033,70.5785124,9.958677686,9.214876033,0.371900826,7.933884298,0.123966942,1.818181818
60710076041,60.31273269,17.42367833,9.233060313,0.372300819,9.084139985,0.59568131,2.978406552
60710076042,56.77902622,18.27715356,11.01123596,0,10.71161049,0.224719101,2.996254682
60710076043,54.29362881,26.50046168,5.817174515,0.600184672,9.141274238,0.369344414,3.277931671
60710076051,80.55281343,4.73840079,7.107601185,0.098716683,4.837117473,0.098716683,2.566633761
60710076052,69.72010178,6.806615776,15.39440204,0.190839695,3.944020356,0.254452926,3.68956743
60710076053,72.63349515,7.645631068,10.61893204,0.485436893,7.160194175,0.182038835,1.274271845
60710076061,81.41836174,7.146783947,6.212204508,0.109950522,3.463441451,0,1.649257834
60710076062,70.40875072,8.405296488,14.91076569,0.172711572,3.569372481,0,2.533103051
60710078001,30.65693431,34.42822384,9.9756691,0.648824006,18.77534469,0.405515004,5.109489051
60710078002,43.93939394,35.39944904,8.67768595,0.344352617,9.366391185,0,2.272727273
60710078003,28.57142857,40.07263923,6.840193705,0,19.1283293,0.423728814,4.963680387
60710078004,26.17702448,31.92090395,5.743879473,0.188323917,26.55367232,0.470809793,8.945386064
60710079031,32.04633205,42.80198566,7.280750138,0.386100386,10.53502482,0.110314396,6.839492554
60710079032,36.3460297,39.25112976,7.424144609,0.193673338,11.42672692,0.193673338,5.164622337
60710079033,36.8387508,32.50478011,5.608667941,0.191204589,20.33142129,0.446144041,4.07903123
60710079041,32.22297757,42.48810333,5.23453433,0.203942896,12.10061183,0.203942896,7.545887152
60710079042,35.16090584,42.49106079,6.019070322,0.536352801,12.6340882,0.178784267,2.979737783
60710079043,32.38636364,46.16477273,7.670454545,0.213068182,9.161931818,0.071022727,4.332386364
60710079044,41.57348243,38.37859425,5.071884984,0.119808307,9.544728435,0.199680511,5.111821086
60710079051,39.46666667,40.4,5.866666667,0.266666667,7.466666667,0.133333333,6.4
60710079052,31.41025641,44.23076923,5.484330484,0.427350427,13.39031339,0.997150997,4.05982906
