Block group,Median_hh_income,age_perc,race_eth
60014001001,190179,21.39582272,35.32699832
60014001002,233125,36.88464364,45.316253
60014002001,232000,39.16423712,29.35420744
60014002002,158750,22.99306244,32.48212462
60014003001,250000,19.42959002,28.5841496
60014003002,114022,19.65495995,40.57591623
60014003003,127333,25.66793893,56.4028777
60014003004,161250,16.00241546,33.21941217
60014004001,128125,22.49832102,28.36970475
60014004002,138672,12.75362319,40.94604582
60014004003,184432,19.30107527,36.63613655
60014005001,99948,22.9843562,47.77006938
60014005002,147670,14.96062992,48.72928177
60014005003,88750,15.38461538,47.29542302
60014006001,120882,19.61301671,54.73977695
60014006002,182986,11.34146341,54.7752809
60014007001,110212,15.78449905,65.15151515
60014007002,103250,16.59361302,58.23483058
60014007003,100393,10.9375,52.09876543
60014007004,108722,17.00325733,58.55319149
60014008001,71910,21.18768328,62.40652617
60014008002,84784,9.060681629,64.64471404
60014008003,102750,15.86440678,55.88235294
60014009001,76890,10.01381215,60.97744361
60014009002,113289,15.42288557,57.43243243
60014010001,143906,11.55015198,62.41134752
60014010002,170694,11.16959064,56.24256837
60014010003,121771,11.60645657,58.13148789
60014010004,89519,17.53246753,64.18300654
60014010005,128200,4.487722269,73.64620939
60014010006,143009,14.66208477,67.82258065
60014011001,77035,8.417508418,44.75271411
60014011002,94735,11.33333333,41.24423963
60014011003,155927,2.757916241,61.38132296
60014011004,75122,14.3866734,64.74820144
60014012001,182063,12.19715957,42.22585925
60014012002,94712,13.93229167,40.06342495
60014012003,85395,22.15568862,53.59317905
60014013001,91250,17.26283048,65.625
60014013002,51964,17.42081448,69.50146628
60014013003,115313,13.54309166,65.58139535
60014014001,69028,10.92498179,71.65408373
60014014002,87824,13.260102,71.25858124
60014014003,59444,12.74509804,77.52481027
60014015001,20595,13.56164384,74.4205298
60014015002,109808,12.96758105,66.1971831
60014015003,83289,8.038976857,63.66083445
60014016001,99886,11.32707775,72.69503546
60014016002,66953,6.364617044,73.3504164
60014017001,126065,8.987052551,69.66626937
60014017002,101250,16.51162791,69.54570948
60014017003,146250,15.33996683,69.58646617
60014018001,88750,12.83697047,70.81784387
60014018002,57262,21.09617373,79.88950276
60014022001,110875,10.74561404,71.35989011
60014022002,75000,6.330935252,75.16129032
60014022003,167768,13.38028169,73.7649063
60014024001,44250,7.553956835,71.96969697
60014024002,21227,33.42637823,81.68210976
60014025001,62083,22.51046025,78.31893166
60014025002,12938,12.48322148,82.9036635
60014026001,40292,28.40646651,82.54486134
60014027001,38750,19.70884658,80.68350669
60014027002,131932,10.2283105,75.38994801
60014028011,181411,8.09102402,71.87196896
60014028012,27643,53.80658436,86.9168357
60014028013,158701,10.20806242,66.88311688
60014028021,11123,25,87.87878788
60014028022,15745,51.23216602,74.26841574
60014029001,34000,29.58083832,71.08013937
60014029002,32279,30.51058531,70.48114434
60014030001,51034,37.85123967,90.62226117
60014030002,15281,39.89247312,94.20035149
60014030003,24020,50.32594524,91.07142857
60014031001,141979,15.58441558,67.73399015
60014031002,125688,14.71984805,77.67653759
60014033011,18766,24.10865874,88.39884947
60014033012,56591,19.98530492,93.20083682
